Respondent,Happiness in life,Energy levels,Hobbies,Large life struggles,Getting up in the morning,Depression
1,3,2,3,1,3,0
2,3,3,5,4,4,1
3,5,4,4,2,4,0
4,4,3,3,1,3,0
5,4,3,4,5,5,0
6,4,3,4,4,3,1
7,4,3,4,2,2,0
8,4,4,4,3,3,0
9,4,3,4,3,3,0
10,4,2,5,3,5,0
11,5,3,5,3,5,0
12,4,4,5,2,3,0
13,4,2,4,3,2,0
14,5,5,5,1,4,0
15,5,2,4,2,1,0
16,3,2,4,5,5,1
17,4,3,3,2,3,1
18,4,3,3,2,3,0
19,5,4,3,1,2,0
20,4,4,5,4,3,0
21,3,3,4,3,3,0
22,5,4,3,2,3,0
23,4,3,2,3,5,0
24,4,3,2,1,2,0
25,3,2,4,3,4,0
26,3,2,2,4,1,0
27,4,2,5,4,2,0